City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arman,59.7,150.1667,270.94,82,100,1.4,RU,1680224328
1,te anau,-45.4167,167.7167,289.29,52,61,0.37,NZ,1680224669
2,paamiut,61.994,-49.6678,261.59,81,33,3.74,GL,1680224298
3,bose,45.4612,8.0137,284.98,85,100,0.55,IT,1680224669
4,hermanus,-34.4187,19.2345,288.02,84,14,2.91,ZA,1680224278
5,nago,26.5881,127.9761,295.39,85,100,5.48,JP,1680224612
6,bluff,-46.6,168.3333,286.37,74,0,3.68,NZ,1680224256
7,ushuaia,-54.8,-68.3,275.96,75,0,3.09,AR,1680224192
8,kapaa,22.0752,-159.319,299.33,87,75,5.66,US,1680224265
9,kineta,37.9709,23.2183,287.47,70,17,4.89,GR,1680224669
10,timra,62.487,17.3257,263.97,79,0,3.6,SE,1680224670
11,albany,42.6001,-73.9662,273.34,47,5,2.42,US,1680224368
12,tilichiki,60.4667,166.1,267.03,84,42,2.3,RU,1680224670
13,mataura,-46.1927,168.8643,286.19,57,0,2.15,NZ,1680224670
14,upernavik,72.7868,-56.1549,244.0,95,17,2.22,GL,1680224671
15,airai,-8.9266,125.4092,289.95,94,100,0.98,TL,1680224268
16,vila velha,-20.3297,-40.2925,300.34,81,20,3.09,BR,1680224292
17,ribeira grande,38.5167,-28.7,288.02,92,100,0.89,PT,1680224257
18,severo-kurilsk,50.6789,156.125,275.17,70,3,2.34,RU,1680224038
19,tiarei,-17.5333,-149.3333,304.16,73,6,2.3,PF,1680224540
20,chokurdakh,70.6333,147.9167,254.81,91,100,4.37,RU,1680224303
21,jamestown,42.097,-79.2353,274.95,51,0,2.06,US,1680224265
22,torbay,47.6666,-52.7314,271.8,87,0,4.12,CA,1680224298
23,cockburn town,21.4612,-71.1419,298.61,73,0,7.15,TC,1680224038
24,ygatimi,-24.0833,-55.5,297.58,87,68,1.0,PY,1680224672
25,butaritari,3.0707,172.7902,300.84,78,25,5.09,KI,1680224296
26,wainwright,52.839,-110.8572,270.64,94,100,4.35,CA,1680224441
27,tezu,27.9167,96.1667,294.29,44,2,0.96,IN,1680224327
28,puerto ayora,-0.7393,-90.3518,298.46,98,100,0.45,EC,1680224295
29,kazerun,29.6195,51.6541,289.54,47,84,1.31,IR,1680224673
30,filadelfia,39.9523,-75.1638,279.27,41,0,0.6,US,1680224517
31,avarua,-21.2078,-159.775,302.18,84,75,5.14,CK,1680224294
32,mount isa,-20.7333,139.5,304.02,27,63,4.12,AU,1680224339
